dep,total,numero,num_housenumber,num_municipality,num_street_locality,nonum_housenumber,nonum_municipality,nonum_street_locality
01,81839,63.1,92.1,2.0,5.7,44.2,8.9,46.7
02,60727,79.5,94.8,2.3,2.4,54.4,9.8,35.3
03,49844,55.3,96.2,1.2,2.0,37.5,14.3,48.2
04,36343,35.1,87.9,4.0,7.5,44.5,10.0,45.5
05,37750,32.9,85.3,5.6,8.1,18.3,36.3,45.4
06,261739,88.5,95.5,0.8,3.4,13.6,4.3,82.1
07,53080,35.1,90.2,3.2,6.2,62.3,8.5,29.2
08,35472,70.8,94.2,2.7,2.6,67.6,10.0,22.4
09,28556,43.6,91.5,3.6,4.2,31.4,25.5,43.1
10,45879,78.2,95.5,2.1,2.0,49.4,7.2,43.4
11,76171,59.3,92.2,2.5,4.6,43.1,12.4,44.3
12,56105,32.9,93.0,2.2,4.4,32.1,14.1,53.8
13,349428,78.9,92.2,1.8,5.6,15.6,3.9,80.5
14,100045,62.3,95.1,1.5,3.0,39.9,11.0,49.1
15,29326,30.5,94.8,2.0,2.9,34.7,14.7,50.7
16,55433,46.4,93.2,2.3,4.0,39.3,4.8,55.9
17,110565,74.8,95.2,1.6,2.8,31.7,6.8,61.5
18,40162,59.4,95.3,1.4,2.8,45.6,11.7,42.7
19,44583,38.2,93.9,2.0,3.8,38.8,13.8,47.4
21,82910,73.4,96.7,1.3,1.6,43.4,14.3,41.9
22,87119,56.1,93.6,2.6,3.4,59.3,8.5,32.2
23,23011,39.9,92.9,3.1,3.5,62.4,7.5,30.1
24,75113,31.3,92.6,2.7,4.2,43.2,10.8,45.3
25,70830,79.2,95.5,1.3,2.6,39.8,6.4,53.9
26,89242,53.7,92.0,2.1,5.4,47.4,7.2,45.4
27,71811,72.0,93.9,2.5,3.1,46.3,6.8,46.9
28,54037,79.0,96.1,1.6,1.8,53.6,11.2,35.2
29,121379,62.8,95.9,1.1,2.7,43.6,3.7,52.7
2A,34884,24.3,76.7,5.6,17.0,6.2,9.1,84.8
2B,38015,21.3,70.0,9.4,20.2,30.4,20.8,48.6
30,126463,66.5,92.8,1.8,5.0,43.0,10.2,46.8
31,200630,81.6,97.2,0.9,1.6,40.4,5.3,54.3
32,43992,26.0,92.5,3.0,3.8,46.1,14.5,39.5
33,259651,82.1,94.4,2.2,2.9,40.0,28.8,31.1
34,225431,77.7,94.5,1.5,3.7,28.2,4.9,66.9
35,144448,68.1,96.6,1.2,1.9,40.3,4.3,55.4
36,33615,55.6,95.8,1.5,2.1,51.8,15.7,32.5
37,81009,74.8,96.8,1.0,1.7,60.6,10.8,28.6
38,185503,74.6,94.5,1.6,3.6,40.1,9.2,50.6
39,39300,69.2,95.0,1.9,2.6,54.0,20.2,25.8
40,73388,62.4,93.6,1.8,4.3,36.1,10.5,53.4
41,44470,70.0,96.1,1.5,2.0,37.0,5.2,57.8
42,103045,66.1,95.7,1.2,2.9,38.5,7.1,54.4
43,38003,32.6,92.0,2.5,5.0,53.0,7.2,39.8
44,184519,78.6,97.2,0.8,1.8,56.5,5.9,37.4
45,81422,82.3,96.4,1.2,2.1,38.9,9.4,51.7
46,37307,24.6,89.4,2.8,7.4,25.6,17.1,57.3
47,57810,34.7,93.8,2.0,3.8,27.6,9.8,62.6
48,17257,23.5,91.0,3.4,4.9,10.3,15.4,74.4
49,101672,65.0,95.5,1.8,2.3,44.1,8.0,47.5
50,70288,55.4,91.9,3.6,4.0,68.4,8.1,23.2
51,93937,79.0,96.1,1.3,2.1,28.1,6.1,65.8
52,24451,64.3,93.9,2.5,3.0,48.3,15.7,36.0
53,43816,48.4,95.3,1.5,2.9,53.4,8.6,37.9
54,85362,87.6,96.2,1.3,2.1,42.7,6.2,51.1
55,24961,74.3,94.6,2.7,1.9,56.3,9.9,33.8
56,108355,58.6,95.1,1.5,2.9,55.7,5.2,39.1
57,117516,87.5,95.7,1.2,2.4,54.6,3.5,41.8
58,31719,49.1,95.0,1.7,2.7,39.6,7.5,52.8
59,292601,89.9,96.1,0.7,2.8,29.6,4.1,66.3
60,91294,85.5,95.5,1.6,2.5,53.3,11.0,35.7
61,42386,38.2,94.4,2.3,2.7,39.8,21.6,38.6
62,141805,83.5,95.0,1.3,3.2,36.2,5.3,58.4
63,94350,60.1,96.6,0.9,2.1,24.5,8.7,66.8
64,124534,59.9,94.7,1.5,3.4,26.1,12.1,61.8
65,44961,60.9,95.1,1.9,2.6,52.4,17.5,30.1
66,90615,72.9,93.5,2.1,3.9,35.2,11.5,53.3
67,155556,94.0,96.7,0.6,2.4,33.8,1.6,64.6
68,98518,92.6,96.9,0.7,1.9,49.6,2.3,48.2
69,294930,87.6,97.5,0.6,1.6,38.2,3.9,57.8
70,32304,63.6,95.2,2.2,2.0,58.2,19.9,21.9
71,78878,53.4,94.9,1.5,3.1,53.9,10.8,35.1
72,65897,59.0,96.1,1.1,2.4,18.8,3.9,76.9
73,99985,42.5,90.1,2.5,7.1,12.5,12.9,74.4
74,137727,73.8,96.0,1.1,2.7,57.8,9.3,32.9
75,828230,99.5,99.4,0.1,0.4,4.7,0.3,95.0
76,138018,79.2,94.9,1.5,3.3,25.0,7.3,67.7
77,161395,87.3,96.1,1.4,2.2,48.5,6.6,44.8
78,179404,92.5,97.0,0.8,1.8,36.8,5.6,57.5
79,51191,62.0,95.1,2.0,2.4,49.2,10.7,40.1
80,68118,80.8,95.3,1.7,2.5,37.9,7.3,54.8
81,61224,51.7,93.6,2.0,4.0,34.6,14.5,50.9
82,41724,55.3,94.5,1.7,3.5,46.8,11.1,42.1
83,207834,67.5,88.4,2.1,9.1,20.8,7.1,72.2
84,109254,65.9,90.4,2.2,7.0,29.0,5.9,65.1
85,91900,66.5,95.2,1.4,2.9,34.2,14.5,51.2
86,59639,68.2,96.0,1.6,2.1,53.4,7.7,38.5
87,51140,60.3,96.4,1.1,2.2,40.0,1.9,58.1
88,52700,85.8,94.9,1.6,3.0,57.3,4.0,38.7
89,49268,73.5,95.1,2.0,2.4,44.3,11.1,44.6
90,15836,86.2,96.1,1.1,2.1,43.7,9.7,46.6
91,142534,91.1,96.8,1.0,1.9,38.0,4.9,57.1
92,259384,98.6,98.3,0.4,1.0,11.6,0.6,87.8
93,198473,97.3,97.5,0.4,1.8,13.9,19.4,66.7
94,173587,97.4,97.8,0.5,1.4,21.3,7.2,71.5
95,138672,92.7,96.3,1.2,2.2,30.5,5.8,63.7
97,342569,57.1,75.1,5.3,15.5,16.1,6.2,68.4
98,1223,32.0,0.0,0.0,0.0,0.0,0.0,0.0
99,78387,42.8,0.0,0.0,0.0,0.0,0.0,0.0
